movie_id,Genre
222,Music
224,Crime
224,Fantasy
224,Horror
224,Sci-Fi
224,Thriller
225,Drama
226,Comedy
227,Romance
228,Crime
228,Drama
229,Horror
230,Animation
230,Action
230,Adventure
230,Fantasy
231,Action
231,Drama
231,Thriller
231,War
232,Crime
232,Drama
233,Documentary
234,Comedy
234,Drama
235,Comedy
235,Drama
236,Drama
236,Comedy
237,Action
237,Crime
237,Drama
238,Comedy
238,Romance
239,Family
240,Action
240,Adventure
240,Comedy
240,Family
240,Romance
240,Sport
240,Western
241,Animation
241,Action
241,Sci-Fi
242,Comedy
243,Biography
243,Comedy
243,Drama
244,Action
244,Adventure
244,Fantasy
244,Sci-Fi
245,Drama
245,War
247,Comedy
247,Romance
250,Drama
251,Crime
251,Drama
251,Horror
251,Thriller
252,Animation
252,Adventure
252,Comedy
252,Family
252,Fantasy
252,Musical
253,Comedy
253,Crime
253,Drama
253,Mystery
253,Thriller
254,Documentary
254,Sport
255,Thriller
256,Short
256,Comedy
258,Drama
258,Romance
259,Fantasy
259,Horror
260,Comedy
261,Action
261,Adventure
261,Comedy
261,Sci-Fi
262,Drama
262,Horror
262,Mystery
262,Thriller
263,Crime
263,Drama
264,Drama
265,Drama
267,Comedy
268,Comedy
268,Drama
269,Drama
270,Comedy
270,Drama
270,Thriller
271,Comedy
271,Drama
272,Adventure
272,Comedy
272,Drama
273,Crime
275,Film-Noir
275,Mystery
275,Thriller
276,Comedy
276,Drama
277,Action
277,Comedy
277,Fantasy
277,Sci-Fi
277,Thriller
278,Drama
278,War
279,Drama
279,Music
280,Comedy
280,Drama
280,Thriller
281,Comedy
281,Drama
282,Animation
282,Adventure
282,Comedy
282,Family
282,Fantasy
283,Comedy
283,Drama
284,Drama
285,Documentary
285,Drama
286,Drama
287,Drama
287,Romance
288,Comedy
289,Comedy
290,Comedy
291,Documentary
292,Drama
292,History
293,Documentary
293,Music
294,Drama
295,Crime
295,Drama
297,Drama
298,Action
298,Fantasy
298,History
299,Biography
299,Drama
299,Music
